country,R0_old,region_sim,days_timeseries,day_30cases,Per_reported,Log10GDP,Pop_bw20_34,logPop_tot,Pop_Urban,Urban_pop,log_Air_trans,Temp,logPercip,GHS,logMort_resp,logMort_infect,logNurses,Social_media,logInternet_filtering,GINI_index,logPollution,Business,growth_rate,R_squared,R0,days_30cases_bin,Per_reported_bin,Log10GDP_bin,logPop_tot_bin,days_timeseries_bin
Algeria,3.25,AF,16,65,33,3.606843363,26.1,7.616887011,6.43,72.05,-0.82,14.94,0.954242509,23.6,1.378761175,1.275311355,0.350248018,3.27,0.383815366,27.6,1.59,157,0.203445093,0.967650816,2.256422,6,3,2,5,2
Argentina,1.44,SA,33,62,25,4.164110654,23.1,7.643894751,43.13,91.75,-0.42,19.41,1.827304641,58.6,1.830331993,1.111934276,0.411619706,3.21,0.201397124,41.4,1.12,126,0.038728852,0.978794546,1.167559189,6,2,4,5,5
Australia,5.77,AS,16,55,88,4.732928256,21.5,7.390967943,60.7,85.9,0.48,26.79,1.862012051,75.5,1.232233521,0.970811611,1.102474869,3.07,0.588831726,34.4,0.93,14,0.302106622,0.983907766,3.348212058,5,7,6,4,2
Austria,3.97,EU,18,51,56,4.676067775,19.7,6.944362534,21.4,58.1,0.26,-1.36,1.84416641,58.5,1.009875634,0.754348336,0.912636485,3.42,0.591064607,29.7,1.1,27,0.237896115,0.998265038,2.589809859,5,4,6,3,2
Azerbaijan,1.66,EUAS,11,71,85,3.617743461,27,6.993614012,22.92,55.34,-0.62,1.86,1.489677292,34.2,1.261738547,1.085647288,0.84260924,1.43,0.413299764,33.7,1.3,34,0.038991574,0.958601488,1.168786809,6,6,2,3,1
Belarus,2.43,EU,21,74,99,3.76055441,21.7,6.977644236,20.9,78.13,-0.59,-4.33,1.512150537,35.3,0.867467488,1.364738555,1.058361483,2.57,0.382017043,25.2,1.27,49,0.09156787,0.968028107,1.442346758,7,7,3,3,3
Belgium,2.31,EU,38,49,13,4.64561481,18.8,7.055957438,26.9,98,0.08,3.26,1.84167225,61,1.729407797,1.148294097,1.045366015,2.5,0.595496222,27.4,1.11,46,0.133841249,0.979044621,1.708071565,5,1,6,4,6
Brazil,1.85,SA,38,57,15,3.994798702,24.9,8.317716243,41.67,86.31,-0.34,25.58,2.355566448,59.7,1.616265405,1.410608543,0.987143188,3.35,0.176091259,53.9,1.1,124,0.04155184,0.973132046,1.180817932,5,1,4,6,6
Canada,1.83,NOR,40,55,17,4.653886594,20.8,7.562771728,45.9,81.4,0.4,-22.2,1.410608543,75.3,1.243286146,1.215373153,0.995880787,2.5,0.58546073,33.8,0.81,23,0.080964272,0.916570069,1.382449724,5,1,6,5,6
Chile,1.83,SA,36,58,86,4.177172752,23.9,7.266477218,35.9,87.5,-0.02,11.92,1.536179532,58.3,1.432488256,1.180699201,-0.065501549,3.13,0.58546073,44.4,1.32,59,0.056468055,0.945716662,1.253415496,5,7,4,4,6
China,2.73,AS,25,0,98,3.942454526,23,9.141886983,27.3,58,-0.4,-4.64,1.229681842,48.2,1.194791758,0.931966115,0.363104066,1.96,-0.13076828,38.5,1.72,31,0.17290416,0.940057781,1.996941262,0,7,3,7,4
Colombia,1.86,SA,32,63,35,3.80454354,25.3,7.689318326,43.53,80.45,-0.18,24.91,2.118529258,44.2,1.264817823,1.283753383,0.10130018,3.61,0.164352856,50.4,1.22,67,0.039742191,0.991924225,1.172301326,6,3,3,5,5
